94396,0.0,"['downstairs', ' down the stairs', ' on a lower floor', ' below']",downstairs
94396,0.0,"['downstairs', ' down the stairs', ' on a lower floor', ' below']", down the stairs
94396,0.0,"['downstairs', ' down the stairs', ' on a lower floor', ' below']", on a lower floor
94396,0.0,"['downstairs', ' down the stairs', ' on a lower floor', ' below']", below
18918,0.0,"['quite', ' quite a', ' quite an']",quite
18918,0.0,"['quite', ' quite a', ' quite an']", quite a
18918,0.0,"['quite', ' quite a', ' quite an']", quite an
368847,0.0,['converge'],converge
2431320,0.0,"['separate', ' part', ' split up', ' split', ' break', ' break up']",separate
2431320,0.0,"['separate', ' part', ' split up', ' split', ' break', ' break up']", part
2431320,0.0,"['separate', ' part', ' split up', ' split', ' break', ' break up']", split up
2431320,0.0,"['separate', ' part', ' split up', ' split', ' break', ' break up']", split
2431320,0.0,"['separate', ' part', ' split up', ' split', ' break', ' break up']", break
2431320,0.0,"['separate', ' part', ' split up', ' split', ' break', ' break up']", break up
1076634,0.0,['social'],social
2023107,0.0,"['meet', ' run into', ' encounter', ' run across', ' come across', ' see']",meet
2023107,0.0,"['meet', ' run into', ' encounter', ' run across', ' come across', ' see']", run into
2023107,0.0,"['meet', ' run into', ' encounter', ' run across', ' come across', ' see']", encounter
2023107,0.0,"['meet', ' run into', ' encounter', ' run across', ' come across', ' see']", run across
2023107,0.0,"['meet', ' run into', ' encounter', ' run across', ' come across', ' see']", come across
2023107,0.0,"['meet', ' run into', ' encounter', ' run across', ' come across', ' see']", see
2470685,0.0,"['band together', ' confederate']",band together
2470685,0.0,"['band together', ' confederate']", confederate
354833,0.0,['exchanged'],exchanged
472336,0.0,"['combinative', ' combinatory']",combinative
472336,0.0,"['combinative', ' combinatory']", combinatory
2588677,0.0,['befriend'],befriend
1684811,0.0,"['aligning', ' positioning']",aligning
1684811,0.0,"['aligning', ' positioning']", positioning
1107751,0.0,"['centralized', ' centralised']",centralized
1107751,0.0,"['centralized', ' centralised']", centralised
2178348,0.0,"['interlacing', ' interlinking', ' interlocking', ' interwoven']",interlacing
2178348,0.0,"['interlacing', ' interlinking', ' interlocking', ' interwoven']", interlinking
2178348,0.0,"['interlacing', ' interlinking', ' interlocking', ' interwoven']", interlocking
2178348,0.0,"['interlacing', ' interlinking', ' interlocking', ' interwoven']", interwoven
7181935,0.0,"['dispute', ' difference', ' difference of opinion', ' conflict']",dispute
7181935,0.0,"['dispute', ' difference', ' difference of opinion', ' conflict']", difference
7181935,0.0,"['dispute', ' difference', ' difference of opinion', ' conflict']", difference of opinion
7181935,0.0,"['dispute', ' difference', ' difference of opinion', ' conflict']", conflict
788971,0.0,['re-examine'],re-examine
1296091,0.0,"['past', ' preceding', ' retiring']",past
1296091,0.0,"['past', ' preceding', ' retiring']", preceding
1296091,0.0,"['past', ' preceding', ' retiring']", retiring
2506922,0.0,"['many-sided', ' multifaceted', ' miscellaneous', ' multifarious']",many-sided
2506922,0.0,"['many-sided', ' multifaceted', ' miscellaneous', ' multifarious']", multifaceted
2506922,0.0,"['many-sided', ' multifaceted', ' miscellaneous', ' multifarious']", miscellaneous
2506922,0.0,"['many-sided', ' multifaceted', ' miscellaneous', ' multifarious']", multifarious
1220052,0.0,['homologous'],homologous
62857,0.0,"['consequently', ' accordingly']",consequently
62857,0.0,"['consequently', ' accordingly']", accordingly
160659,0.0,"['closely', ' intimately', ' nearly']",closely
160659,0.0,"['closely', ' intimately', ' nearly']", intimately
160659,0.0,"['closely', ' intimately', ' nearly']", nearly
277086,0.0,"['predate', ' antedate', ' foredate']",predate
277086,0.0,"['predate', ' antedate', ' foredate']", antedate
277086,0.0,"['predate', ' antedate', ' foredate']", foredate
15142167,0.0,['birth'],birth
1219938,0.0,['away'],away
1972204,0.0,"['descendant', ' descendent']",descendant
1972204,0.0,"['descendant', ' descendent']", descendent
2332086,0.0,['partner'],partner
1079480,0.0,"['meet', ' encounter', ' play', ' take on']",meet
1079480,0.0,"['meet', ' encounter', ' play', ' take on']", encounter
1079480,0.0,"['meet', ' encounter', ' play', ' take on']", play
1079480,0.0,"['meet', ' encounter', ' play', ' take on']", take on
2043982,0.0,"['orb', ' orbit', ' revolve']",orb
2043982,0.0,"['orb', ' orbit', ' revolve']", orbit
2043982,0.0,"['orb', ' orbit', ' revolve']", revolve
1544347,0.0,['monogamous'],monogamous
5938633,0.0,"['pacesetter', ' pacemaker']",pacesetter
5938633,0.0,"['pacesetter', ' pacemaker']", pacemaker
2478701,0.0,"['validate', ' formalize', ' formalise']",validate
2478701,0.0,"['validate', ' formalize', ' formalise']", formalize
2478701,0.0,"['validate', ' formalize', ' formalise']", formalise
136800,0.0,['equilibrate'],equilibrate
731955,0.0,['allied'],allied
2535457,0.0,"['secede', ' splinter', ' break away']",secede
2535457,0.0,"['secede', ' splinter', ' break away']", splinter
2535457,0.0,"['secede', ' splinter', ' break away']", break away
1098206,0.0,"['demobilize', ' inactivate', ' demobilise']",demobilize
1098206,0.0,"['demobilize', ' inactivate', ' demobilise']", inactivate
1098206,0.0,"['demobilize', ' inactivate', ' demobilise']", demobilise
5659621,0.0,['proprioception'],proprioception
1543225,0.0,"['heteroicous', ' polyoicous', ' polygamous']",heteroicous
1543225,0.0,"['heteroicous', ' polyoicous', ' polygamous']", polyoicous
1543225,0.0,"['heteroicous', ' polyoicous', ' polygamous']", polygamous
2711846,0.0,"['diametral', ' diametric', ' diametrical']",diametral
2711846,0.0,"['diametral', ' diametric', ' diametrical']", diametric
2711846,0.0,"['diametral', ' diametric', ' diametrical']", diametrical
149084,0.0,"['tying', ' ligature']",tying
149084,0.0,"['tying', ' ligature']", ligature
2030967,0.0,['disband'],disband
2428924,0.0,"['meet', ' gather', ' assemble', ' forgather', ' foregather']",meet
2428924,0.0,"['meet', ' gather', ' assemble', ' forgather', ' foregather']", gather
2428924,0.0,"['meet', ' gather', ' assemble', ' forgather', ' foregather']", assemble
2428924,0.0,"['meet', ' gather', ' assemble', ' forgather', ' foregather']", forgather
2428924,0.0,"['meet', ' gather', ' assemble', ' forgather', ' foregather']", foregather
619972,0.0,['cooperative'],cooperative
2393086,0.0,"['transfer', ' reassign']",transfer
2393086,0.0,"['transfer', ' reassign']", reassign
3386420,0.0,"['forum', ' assembly', ' meeting place']",forum
3386420,0.0,"['forum', ' assembly', ' meeting place']", assembly
3386420,0.0,"['forum', ' assembly', ' meeting place']", meeting place
14421373,0.0,['disassociation'],disassociation
7181043,0.0,"['confrontation', ' encounter', ' showdown', ' face-off']",confrontation
7181043,0.0,"['confrontation', ' encounter', ' showdown', ' face-off']", encounter
7181043,0.0,"['confrontation', ' encounter', ' showdown', ' face-off']", showdown
7181043,0.0,"['confrontation', ' encounter', ' showdown', ' face-off']", face-off
464321,0.0,"['align', ' aline', ' line up', ' adjust']",align
464321,0.0,"['align', ' aline', ' line up', ' adjust']", aline
464321,0.0,"['align', ' aline', ' line up', ' adjust']", line up
464321,0.0,"['align', ' aline', ' line up', ' adjust']", adjust
13971901,0.0,['consensus'],consensus
884011,0.0,"['promise', ' assure']",promise
884011,0.0,"['promise', ' assure']", assure
713818,0.0,['interrelate'],interrelate
4889000,0.0,['superiority'],superiority
572714,0.0,"['knocked out', ' kayoed', ' ""KOd""', ' out', ' stunned']",knocked out
572714,0.0,"['knocked out', ' kayoed', ' ""KOd""', ' out', ' stunned']", kayoed
572714,0.0,"['knocked out', ' kayoed', ' ""KOd""', ' out', ' stunned']"," ""KOd"""
572714,0.0,"['knocked out', ' kayoed', ' ""KOd""', ' out', ' stunned']", out
572714,0.0,"['knocked out', ' kayoed', ' ""KOd""', ' out', ' stunned']", stunned
1757994,0.0,"['release', ' free', ' liberate']",release
1757994,0.0,"['release', ' free', ' liberate']", free
1757994,0.0,"['release', ' free', ' liberate']", liberate
1001097,0.0,"['synchronization', ' synchronisation', ' synchronizing', ' synchronising']",synchronization
1001097,0.0,"['synchronization', ' synchronisation', ' synchronizing', ' synchronising']", synchronisation
1001097,0.0,"['synchronization', ' synchronisation', ' synchronizing', ' synchronising']", synchronizing
1001097,0.0,"['synchronization', ' synchronisation', ' synchronizing', ' synchronising']", synchronising
842989,0.0,"['accuse', ' impeach', ' incriminate', ' criminate']",accuse
842989,0.0,"['accuse', ' impeach', ' incriminate', ' criminate']", impeach
842989,0.0,"['accuse', ' impeach', ' incriminate', ' criminate']", incriminate
842989,0.0,"['accuse', ' impeach', ' incriminate', ' criminate']", criminate
2474191,0.0,['union'],union
1326917,0.0,"['segregated', ' unintegrated']",segregated
1326917,0.0,"['segregated', ' unintegrated']", unintegrated
1227190,0.0,"['forgiveness', ' pardon']",forgiveness
1227190,0.0,"['forgiveness', ' pardon']", pardon
13971802,0.0,"['concurrence', ' meeting of minds']",concurrence
13971802,0.0,"['concurrence', ' meeting of minds']", meeting of minds
567414,0.0,['well-connected'],well-connected
7176962,0.0,"['connivance', ' collusion']",connivance
7176962,0.0,"['connivance', ' collusion']", collusion
1607072,0.0,"['bond', ' bring together', ' draw together']",bond
1607072,0.0,"['bond', ' bring together', ' draw together']", bring together
1607072,0.0,"['bond', ' bring together', ' draw together']", draw together
8377806,0.0,['hierarchy'],hierarchy
13814898,0.0,"['patrilineage', ' agnation']",patrilineage
13814898,0.0,"['patrilineage', ' agnation']", agnation
252872,0.0,['bilaterally'],bilaterally
1222477,0.0,"['bullying', ' intimidation']",bullying
1222477,0.0,"['bullying', ' intimidation']", intimidation
4876985,0.0,"['fidelity', ' faithfulness']",fidelity
4876985,0.0,"['fidelity', ' faithfulness']", faithfulness
8179205,0.0,"['poor people', ' poor']",poor people
8179205,0.0,"['poor people', ' poor']", poor
2833692,0.0,"['parasitic', ' parasitical']",parasitic
2833692,0.0,"['parasitic', ' parasitical']", parasitical
13841651,0.0,"['correlation', ' correlativity']",correlation
13841651,0.0,"['correlation', ' correlativity']", correlativity
1240628,0.0,['matchmaking'],matchmaking
2904372,0.0,['supervisory'],supervisory
495808,0.0,"['sequester', ' sequestrate', ' keep apart', ' set apart', ' isolate']",sequester
495808,0.0,"['sequester', ' sequestrate', ' keep apart', ' set apart', ' isolate']", sequestrate
495808,0.0,"['sequester', ' sequestrate', ' keep apart', ' set apart', ' isolate']", keep apart
495808,0.0,"['sequester', ' sequestrate', ' keep apart', ' set apart', ' isolate']", set apart
495808,0.0,"['sequester', ' sequestrate', ' keep apart', ' set apart', ' isolate']", isolate
546192,0.0,['emanate'],emanate
2152216,0.0,['shared'],shared
466651,0.0,"['integrate', ' incorporate']",integrate
466651,0.0,"['integrate', ' incorporate']", incorporate
13858833,0.0,"['inverse', ' opposite']",inverse
13858833,0.0,"['inverse', ' opposite']", opposite
1203676,0.0,"['conformity', ' conformation', ' compliance', ' abidance']",conformity
1203676,0.0,"['conformity', ' conformation', ' compliance', ' abidance']", conformation
1203676,0.0,"['conformity', ' conformation', ' compliance', ' abidance']", compliance
1203676,0.0,"['conformity', ' conformation', ' compliance', ' abidance']", abidance
449769,0.0,['juxtaposed'],juxtaposed
4742766,0.0,"['otherness', ' distinctness', ' separateness']",otherness
4742766,0.0,"['otherness', ' distinctness', ' separateness']", distinctness
4742766,0.0,"['otherness', ' distinctness', ' separateness']", separateness
238037,0.0,"['bipartite', ' two-part', ' two-way']",bipartite
238037,0.0,"['bipartite', ' two-part', ' two-way']", two-part
238037,0.0,"['bipartite', ' two-part', ' two-way']", two-way
4735929,0.0,"['exchangeability', ' interchangeability', ' interchangeableness', ' fungibility']",exchangeability
4735929,0.0,"['exchangeability', ' interchangeability', ' interchangeableness', ' fungibility']", interchangeability
4735929,0.0,"['exchangeability', ' interchangeability', ' interchangeableness', ' fungibility']", interchangeableness
4735929,0.0,"['exchangeability', ' interchangeability', ' interchangeableness', ' fungibility']", fungibility
4737234,0.0,"['replaceability', ' substitutability', ' commutability']",replaceability
4737234,0.0,"['replaceability', ' substitutability', ' commutability']", substitutability
4737234,0.0,"['replaceability', ' substitutability', ' commutability']", commutability
2249337,0.0,"['multiethnic', ' multi-ethnic']",multiethnic
2249337,0.0,"['multiethnic', ' multi-ethnic']", multi-ethnic
2068946,0.0,"['identical', ' selfsame', ' very']",identical
2068946,0.0,"['identical', ' selfsame', ' very']", selfsame
2068946,0.0,"['identical', ' selfsame', ' very']", very
743082,0.0,['relay'],relay
7939880,0.0,"['dichotomy', ' duality']",dichotomy
7939880,0.0,"['dichotomy', ' duality']", duality
1294975,0.0,"['future', ' next', ' succeeding']",future
1294975,0.0,"['future', ' next', ' succeeding']", next
1294975,0.0,"['future', ' next', ' succeeding']", succeeding
552315,0.0,"['coordinating', ' coordinative']",coordinating
552315,0.0,"['coordinating', ' coordinative']", coordinative
1682677,0.0,"['adjusted', ' familiarized', ' familiarised']",adjusted
1682677,0.0,"['adjusted', ' familiarized', ' familiarised']", familiarized
1682677,0.0,"['adjusted', ' familiarized', ' familiarised']", familiarised
1106808,0.0,"['transaction', ' dealing', ' dealings']",transaction
1106808,0.0,"['transaction', ' dealing', ' dealings']", dealing
1106808,0.0,"['transaction', ' dealing', ' dealings']", dealings
1084489,0.0,['reshuffle'],reshuffle
8307589,0.0,"['meeting', ' group meeting']",meeting
8307589,0.0,"['meeting', ' group meeting']", group meeting
2663141,0.0,"['contradict', ' belie', ' negate']",contradict
